# Log10(wave)  Resid
 3.5761000 1.00349
 3.5762000 1.00983
 3.5763000 1.01381
 3.5764000 1.01018
 3.5765000 1.01372
 3.5766000 1.01303
 3.5767000 1.02436
 3.5768000 1.03304
 3.5769000 1.02359
 3.5770000 1.02253
 3.5771000 1.02846
 3.5772000 1.02561
 3.5773000 1.02375
 3.5774000 1.02093
 3.5775000 1.02866
 3.5776000 1.02636
 3.5777000 1.02277
 3.5778000 1.03110
 3.5779000 1.02808
 3.5780000 1.02003
 3.5781000 1.02643
 3.5782000 1.02516
 3.5783000 1.02052
 3.5784000 1.02000
 3.5785000 1.01800
 3.5786000 1.01637
 3.5787000 1.02553
 3.5788000 1.03344
 3.5789000 1.03069
 3.5790000 1.03222
 3.5791000 1.02330
 3.5792000 1.03570
 3.5793000 1.03350
 3.5794000 1.03270
 3.5795000 1.02503
 3.5796000 1.01504
 3.5797000 1.01688
 3.5798000 1.01801
 3.5799000 1.02914
 3.5800000 1.02267
 3.5801000 1.02667
 3.5802000 1.02645
 3.5803000 1.02244
 3.5804000 1.02003
 3.5805000 1.01275
 3.5806000 1.02360
 3.5807000 1.01528
 3.5808000 1.00396
 3.5809000 1.00819
 3.5810000 1.01015
 3.5811000 1.00688
 3.5812000 1.00984
 3.5813000 1.01606
 3.5814000 1.01700
 3.5815000 1.02009
 3.5816000 1.00844
 3.5817000 1.00621
 3.5818000 1.00732
 3.5819000 1.01251
 3.5820000 1.01220
 3.5821000 1.00987
 3.5822000 1.00492
 3.5823000 1.00251
 3.5824000 1.00787
 3.5825000 1.00989
 3.5826000 1.00892
 3.5827000 1.00532
 3.5828000 1.00360
 3.5829000 1.00026
 3.5830000 1.01389
 3.5831000 1.02820
 3.5832000 1.02532
 3.5833000 1.02076
 3.5834000 1.01842
 3.5835000 1.01945
 3.5836000 1.01193
 3.5837000 1.01597
 3.5838000 1.01763
 3.5839000 1.01966
 3.5840000 1.02180
 3.5841000 1.01772
 3.5842000 1.01621
 3.5843000 1.00921
 3.5844000 1.00171
 3.5845000 1.01947
 3.5846000 1.02210
 3.5847000 1.02638
 3.5848000 1.02059
 3.5849000 1.02021
 3.5850000 1.02399
 3.5851000 1.01918
 3.5852000 1.01758
 3.5853000 1.01916
 3.5854000 1.01319
 3.5855000 1.01333
 3.5856000 1.01612
 3.5857000 1.00696
 3.5858000 1.01344
 3.5859000 1.00738
 3.5860000 1.00430
 3.5861000 1.00648
 3.5862000 1.00542
 3.5863000 0.999084
 3.5864000 0.997549
 3.5865000 0.990138
 3.5866000 0.984523
 3.5867000 1.00007
 3.5868000 1.00312
 3.5869000 1.00198
 3.5870000 0.999688
 3.5871000 0.999145
 3.5872000 1.00048
 3.5873000 0.998585
 3.5874000 1.00073
 3.5875000 1.00513
 3.5876000 1.00531
 3.5877000 1.00721
 3.5878000 1.00322
 3.5879000 1.00093
 3.5880000 1.00278
 3.5881000 1.00547
 3.5882000 1.01163
 3.5883000 1.02231
 3.5884000 1.01799
 3.5885000 1.01528
 3.5886000 1.01717
 3.5887000 1.01520
 3.5888000 1.01505
 3.5889000 1.01389
 3.5890000 1.02229
 3.5891000 1.01497
 3.5892000 1.01936
 3.5893000 1.01677
 3.5894000 1.01548
 3.5895000 1.01740
 3.5896000 1.02224
 3.5897000 1.01434
 3.5898000 1.02025
 3.5899000 1.02401
 3.5900000 1.01371
 3.5901000 1.01933
 3.5902000 1.01999
 3.5903000 1.02312
 3.5904000 1.02210
 3.5905000 1.02167
 3.5906000 1.02116
 3.5907000 1.01804
 3.5908000 1.02528
 3.5909000 1.02085
 3.5910000 1.01946
 3.5911000 1.01914
 3.5912000 1.01694
 3.5913000 1.02029
 3.5914000 1.02276
 3.5915000 1.01606
 3.5916000 1.01576
 3.5917000 1.01347
 3.5918000 1.01613
 3.5919000 1.01522
 3.5920000 1.01163
 3.5921000 1.01596
 3.5922000 1.01675
 3.5923000 1.01560
 3.5924000 1.01191
 3.5925000 1.00762
 3.5926000 1.01048
 3.5927000 1.01195
 3.5928000 1.00729
 3.5929000 1.00151
 3.5930000 1.00294
 3.5931000 1.00433
 3.5932000 1.00296
 3.5933000 0.997454
 3.5934000 0.994494
 3.5935000 0.991273
 3.5936000 0.994151
 3.5937000 0.997985
 3.5938000 0.995071
 3.5939000 0.990377
 3.5940000 0.992754
 3.5941000 0.991111
 3.5942000 0.988818
 3.5943000 0.986296
 3.5944000 0.989935
 3.5945000 0.984184
 3.5946000 0.976520
 3.5947000 0.955504
 3.5948000 0.930837
 3.5949000 0.910854
 3.5950000 0.934224
 3.5951000 0.963709
 3.5952000 0.983369
 3.5953000 0.991040
 3.5954000 0.993774
 3.5955000 0.997556
 3.5956000 0.995684
 3.5957000 1.00207
 3.5958000 1.00101
 3.5959000 1.00372
 3.5960000 1.01323
 3.5961000 1.00372
 3.5962000 0.999478
 3.5963000 1.00866
 3.5964000 1.00747
 3.5965000 1.00990
 3.5966000 1.00457
 3.5967000 1.00927
 3.5968000 1.00984
 3.5969000 1.01245
 3.5970000 1.01663
 3.5971000 1.01229
 3.5972000 1.01445
 3.5973000 1.01387
 3.5974000 1.01492
 3.5975000 1.02183
 3.5976000 1.02010
 3.5977000 1.02035
 3.5978000 1.02678
 3.5979000 1.02155
 3.5980000 1.02333
 3.5981000 1.02352
 3.5982000 1.02464
 3.5983000 1.02497
 3.5984000 1.01786
 3.5985000 1.00496
 3.5986000 0.985904
 3.5987000 0.968131
 3.5988000 0.981935
 3.5989000 1.00665
 3.5990000 1.01824
 3.5991000 1.02336
 3.5992000 1.02887
 3.5993000 1.03256
 3.5994000 1.03339
 3.5995000 1.02881
 3.5996000 1.02799
 3.5997000 1.02966
 3.5998000 1.03272
 3.5999000 1.03170
 3.6000000 1.03112
 3.6001000 1.02875
 3.6002000 1.02422
 3.6003000 1.02248
 3.6004000 1.02910
 3.6005000 1.02478
 3.6006000 1.01710
 3.6007000 1.01951
 3.6008000 1.01630
 3.6009000 1.01339
 3.6010000 1.01863
 3.6011000 1.01477
 3.6012000 1.01271
 3.6013000 1.00981
 3.6014000 1.00125
 3.6015000 1.00364
